id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_umkm,satuan,tahun,kode_pos,aksesoris,batik,bordir,craft,fashion,konveksi,kuliner,makanan,minuman,lainnya
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,375135,UNIT,2017,40379,873,873,125,31188,30440,18588,134235,98181,18214,42416
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,398346,UNIT,2018,40379,927,927,132,33118,32323,19738,142541,104256,19341,45041
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,422992,UNIT,2019,40379,985,985,141,35167,34323,20960,151360,110707,20538,47828
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,449164,UNIT,2020,40379,1046,1046,149,37343,36447,22257,160725,117556,21808,50787
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,476954,UNIT,2021,40379,1110,1110,159,39654,38702,23634,170669,124830,23158,53929
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,165957,UNIT,2017,40561,386,386,55,13798,13466,8223,59385,43435,8058,18765
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,176225,UNIT,2018,40561,410,410,59,14651,14300,8732,63059,46122,8556,19926
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,187128,UNIT,2019,40561,436,436,62,15558,15184,9272,66960,48976,9086,21159
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,198707,UNIT,2020,40561,463,463,66,16520,16124,9846,71103,52006,9648,22468
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,211001,UNIT,2021,40561,491,491,70,17542,17121,10455,75503,55224,10245,23858
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,245337,UNIT,2017,10519,571,571,82,20397,19908,12157,87789,64210,11912,27740
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,260517,UNIT,2018,10519,606,606,87,21659,21139,12909,93221,68183,12649,29456
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,276635,UNIT,2019,10519,644,644,92,22999,22447,13708,98989,72402,13432,31279
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,293752,UNIT,2020,10519,684,684,98,24422,23836,14556,105114,76881,14263,33214
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,311927,UNIT,2021,10519,726,726,104,25933,25311,15456,111617,81638,15145,35269
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,398253,UNIT,2017,16110,927,927,132,33111,32316,19734,142508,104232,19337,45030
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,422894,UNIT,2018,16110,984,984,141,35159,34315,20955,151325,110681,20533,47816
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,449059,UNIT,2019,16110,1045,1045,149,37335,36438,22251,160688,117529,21803,50775
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,476844,UNIT,2020,16110,1110,1110,159,39644,38693,23628,170630,124801,23152,53916
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,506347,UNIT,2021,16110,1179,1179,168,42097,41087,25090,181187,132523,24585,57252
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,148364,UNIT,2017,46211,345,345,49,12335,12039,7352,53089,38830,7204,16775
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,157543,UNIT,2018,46211,367,367,52,13098,12784,7806,56374,41233,7649,17813
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,167291,UNIT,2019,46211,389,389,56,13908,13575,8289,59862,43784,8123,18916
